carat,cut,color,clarity,depth,table,price,x,y,z
0.45,Ideal,G,VVS2,61.8,57.0,1105,4.9,4.94,3.04
0.34,Ideal,D,SI1,62.7,56.0,803,4.48,4.45,2.8
0.8,Premium,E,SI2,59.9,58.0,2939,6.03,5.96,3.59
0.75,Very Good,J,SI1,62.4,56.0,2083,5.78,5.82,3.62
0.32,Ideal,D,SI1,60.8,57.0,756,4.44,4.41,2.69
1.33,Premium,H,VS2,60.7,59.0,7982,7.08,7.13,4.31
1.52,Ideal,G,VS2,62.8,54.0,13809,7.3,7.36,4.61
0.4,Ideal,E,VS1,62.4,58.0,1250,4.7,4.72,2.94
0.71,Good,F,SI1,63.7,58.0,2308,5.65,5.62,3.59
2.3,Ideal,I,SI1,62.2,60.0,17193,8.43,8.39,5.23
1.23,Premium,F,VS2,59.6,58.0,8855,6.94,7.02,4.16
0.75,Very Good,D,SI1,59.7,62.0,3046,5.89,5.94,3.53
0.43,Ideal,H,VVS2,61.3,56.0,943,4.86,4.9,2.99
1.01,Ideal,F,VS1,62.1,54.0,8133,6.42,6.44,3.99
0.9,Good,E,VS2,63.7,54.0,4770,6.13,6.15,3.91
0.4,Ideal,E,VS2,62.2,55.0,1090,4.71,4.77,2.95
0.71,Good,I,VVS2,63.6,57.0,2428,5.66,5.69,3.61
1.12,Premium,F,VS1,61.8,59.0,7903,6.75,6.65,4.14
0.52,Ideal,G,VVS2,61.6,56.0,1784,5.15,5.18,3.18
1.74,Ideal,G,VS2,62.9,57.0,16316,7.68,7.64,4.82
0.79,Premium,J,SI1,59.1,57.0,2199,6.08,6.06,3.59
1.51,Good,J,SI1,64.1,61.0,6511,7.19,7.16,4.6
1.09,Premium,F,VS1,60.9,58.0,8057,6.63,6.67,4.05
0.81,Ideal,E,SI1,61.5,56.0,3373,6.01,6.03,3.7
0.82,Ideal,F,VS2,61.5,57.0,3798,6.01,6.05,3.71
1.5,Ideal,F,VS2,60.2,57.0,13653,7.43,7.39,4.46
0.33,Ideal,H,VVS2,61.9,57.0,666,4.41,4.44,2.74
0.31,Ideal,D,VS2,62.1,54.0,734,4.35,4.41,2.72
0.92,Ideal,E,SI2,62.1,53.0,4011,6.22,6.25,3.87
0.42,Very Good,H,SI1,62.1,59.0,700,4.78,4.81,2.98
1.22,Premium,H,VS2,62.4,58.0,6934,6.84,6.79,4.25
0.72,Ideal,F,VS2,60.3,56.0,2724,5.84,5.81,3.51
0.35,Ideal,J,IF,61.8,55.0,569,4.54,4.56,2.81
1.0,Good,H,SI2,63.2,60.0,3740,6.27,6.3,3.97
0.31,Very Good,G,VS1,63.3,57.0,749,4.31,4.28,2.72
0.91,Good,H,VS2,59.9,61.0,4309,6.18,6.24,3.72
1.23,Ideal,I,VS1,61.6,54.0,7181,6.9,6.94,4.26
0.3,Very Good,H,SI1,62.9,57.0,421,4.28,4.31,2.7
0.9,Fair,F,VS2,65.7,57.0,3750,6.03,5.99,3.95
1.51,Premium,E,SI1,61.5,61.0,11565,7.41,7.31,4.53
1.02,Premium,G,VS2,62.7,61.0,5998,6.39,6.34,3.99
0.92,Very Good,J,SI2,58.7,61.0,2880,6.34,6.43,3.75
0.59,Ideal,E,SI1,60.7,56.0,1793,5.45,5.49,3.32
0.39,Very Good,E,VS1,60.0,59.0,900,4.76,4.8,2.87
0.91,Premium,H,SI1,62.2,60.0,3669,6.22,6.16,3.85
0.31,Good,F,VS2,63.9,56.0,802,4.32,4.29,2.75
0.81,Premium,D,SI2,61.7,58.0,2994,5.97,5.93,3.67
0.6,Good,E,VVS2,64.2,55.0,2511,5.31,5.34,3.42
1.7,Very Good,H,VS2,61.8,59.0,12257,7.58,7.66,4.71
1.02,Premium,G,VS2,62.5,58.0,6416,6.46,6.41,4.02
0.3,Ideal,I,VS1,61.0,56.0,473,4.35,4.37,2.66
1.5,Premium,E,SI2,62.4,62.0,9072,7.29,7.21,4.53
0.6,Premium,H,SI1,60.1,61.0,1219,5.43,5.39,3.25
0.78,Good,D,SI1,60.1,61.0,3253,5.92,5.89,3.55
1.4,Ideal,J,VS2,62.2,57.0,6633,7.17,7.08,4.43
0.54,Ideal,H,VS1,61.9,56.0,1637,5.24,5.2,3.23
1.08,Premium,G,SI2,59.8,57.0,4318,6.72,6.66,4.0
1.05,Premium,D,SI1,59.3,58.0,6174,6.74,6.68,3.98
0.3,Ideal,E,VS2,61.6,56.0,844,4.3,4.27,2.64
1.01,Premium,D,SI1,61.8,60.0,5543,6.37,6.35,3.93
1.01,Very Good,E,SI1,63.1,58.0,5226,6.4,6.31,4.01
0.52,Premium,F,SI2,62.7,57.0,1073,5.11,5.07,3.19
0.7,Ideal,I,VS1,61.5,56.0,2924,5.71,5.75,3.52
0.61,Good,E,SI2,63.1,56.0,1408,5.4,5.44,3.42
0.71,Very Good,E,VS2,63.5,59.0,2858,5.68,5.59,3.58
0.39,Premium,E,SI2,63.0,61.0,834,4.65,4.62,2.92
1.52,Premium,D,SI1,59.8,58.0,12823,7.55,7.51,4.5
1.2,Good,G,SI2,63.1,57.0,4847,6.73,6.77,4.26
0.33,Premium,G,VVS1,62.1,58.0,868,4.4,4.43,2.74
0.36,Ideal,E,VS1,62.4,55.0,1094,4.61,4.59,2.87
1.2,Premium,F,VS2,60.1,57.0,7865,6.82,6.76,4.08
1.09,Ideal,G,VS1,62.4,57.0,6934,6.55,6.63,4.11
1.36,Very Good,G,VVS2,60.8,60.0,11774,7.12,7.16,4.34
1.21,Premium,H,VS2,60.8,62.0,5461,6.82,6.78,4.13
0.52,Ideal,G,VVS2,61.5,56.0,1911,5.18,5.2,3.19
0.71,Very Good,E,SI1,60.3,58.0,2570,5.8,5.85,3.51
